iter	Passed	Remaining
974	66263	50699
975	66333	50633
976	66397	50562
977	66462	50492
978	66527	50422
979	66593	50352
980	66661	50284
981	66726	50214
982	66792	50145
983	66864	50080
984	66939	50017
985	67011	49952
986	67079	49884
987	67143	49813
988	67211	49746
989	67284	49681
990	67353	49614
991	67419	49544
992	67485	49476
993	67556	49409
994	67629	49345
995	67697	49277
996	67763	49208
997	67831	49140
998	67900	49073
999	67969	49006
1000	68032	48934
1001	68097	48864
1002	68164	48795
1003	68233	48728
1004	68305	48663
1005	68376	48597
1006	68442	48528
1007	68507	48458
1008	68573	48388
1009	68635	48316
1010	68700	48246
1011	68765	48176
1012	68832	48108
1013	68898	48038
1014	68972	47974
1015	69038	47905
1016	69105	47837
1017	69170	47767
1018	69239	47699
1019	69305	47630
1020	69369	47559
1021	69438	47492
1022	69508	47426
1023	69577	47358
1024	69648	47293
1025	69719	47226
1026	69782	47155
1027	69849	47087
1028	69916	47018
1029	69987	46952
1030	70051	46882
1031	70115	46811
1032	70182	46743
1033	70250	46675
1034	70322	46610
1035	70391	46542
1036	70457	46473
1037	70520	46402
1038	70590	46335
1039	70657	46266
1040	70724	46198
1041	70788	46127
1042	70849	46055
1043	70917	45987
1044	70987	45921
1045	71055	45853
1046	71122	45784
1047	71185	45713
1048	71250	45644
1049	71317	45575
1050	71382	45505
1051	71447	45436
1052	71514	45366
1053	71582	45299
1054	71658	45236
1055	71727	45169
1056	71794	45100
1057	71859	45031
1058	71926	44962
1059	71993	44894
1060	72058	44824
1061	72124	44755
1062	72194	44688
1063	72261	44619
1064	72333	44554
1065	72401	44486
1066	72467	44417
1067	72530	44346
1068	72593	44275
1069	72658	44206
1070	72723	44136
1071	72789	44067
1072	72862	44002
1073	72933	43936
1074	73008	43873
1075	73080	43807
1076	73148	43739
1077	73215	43671
1078	73280	43601
1079	73349	43534
1080	73417	43466
1081	73483	43397
1082	73550	43328
1083	73620	43262
1084	73692	43196
1085	73762	43130
1086	73823	43058
1087	73889	42988
1088	73954	42919
1089	74022	42851
1090	74085	42780
1091	74151	42711
1092	74215	42641
1093	74284	42574
1094	74356	42508
1095	74426	42442
1096	74493	42373
1097	74556	42303
1098	74622	42234
1099	74687	42164
1100	74752	42095
1101	74816	42025
1102	74882	41955
1103	74950	41888
1104	75025	41824
1105	75095	41757
1106	75169	41693
1107	75237	41625
1108	75304	41556
1109	75376	41490
1110	75455	41429
1111	75523	41361
1112	75592	41293
1113	75666	41229
1114	75739	41164
1115	75808	41096
1116	75879	41030
1117	75950	40964
1118	76025	40900
1119	76094	40832
1120	76165	40766
1121	76232	40698
1122	76304	40632
1123	76374	40565
1124	76445	40499
1125	76511	40430
1126	76580	40363
1127	76649	40295
1128	76718	40228
1129	76788	40160
1130	76855	40092
1131	76922	40024
1132	76992	39957
1133	77066	39892
1134	77134	39824
1135	77201	39756
1136	77265	39685
1137	77329	39616
1138	77396	39547
1139	77464	39479
1140	77530	39410
1141	77600	39343
1142	77672	39277
1143	77742	39210
1144	77810	39143
1145	77880	39076
1146	77949	39008
1147	78015	38939
1148	78081	38870
1149	78148	38802
1150	78215	38734
1151	78280	38664
1152	78352	38598
1153	78422	38531
1154	78490	38463
1155	78558	38395
1156	78626	38327
1157	78693	38259
1158	78762	38191
1159	78834	38125
1160	78904	38058
1161	78976	37992
1162	79053	37929
1163	79122	37862
1164	79193	37795
1165	79262	37727
1166	79334	37661
1167	79407	37595
1168	79480	37530
1169	79552	37464
1170	79624	37398
1171	79698	37333
1172	79771	37267
1173	79844	37201
1174	79914	37134
1175	79985	37068
1176	80057	37001
1177	80129	36935
1178	80198	36868
1179	80265	36799
1180	80337	36733
1181	80414	36669
1182	80487	36603
1183	80558	36537
1184	80628	36470
1185	80695	36401
1186	80761	36332
1187	80826	36263
1188	80893	36194
1189	80960	36126
1190	81028	36057
1191	81092	35988
1192	81159	35919
1193	81224	35850
1194	81289	35781
1195	81351	35710
1196	81416	35640
1197	81482	35572
1198	81552	35505
1199	81620	35436
1200	81687	35368
1201	81759	35302
1202	81827	35234
1203	81896	35166
1204	81963	35098
1205	82038	35032
1206	82104	34963
1207	82169	34894
1208	82237	34826
1209	82302	34757
1210	82373	34690
1211	82444	34624
1212	82515	34557
1213	82581	34488
1214	82652	34421
1215	82717	34352
1216	82782	34282
1217	82851	34215
1218	82922	34148
1219	82989	34080
1220	83061	34013
1221	83130	33945
1222	83197	33877
1223	83264	33809
1224	83330	33740
1225	83394	33670
1226	83459	33601
1227	83526	33532
1228	83593	33464
1229	83661	33396
1230	83733	33330
1231	83805	33263
1232	83873	33195
1233	83939	33126
1234	84004	33057
1235	84070	32988
1236	84137	32920
1237	84205	32852
1238	84271	32783
1239	84338	32715
1240	84406	32647
1241	84476	32579
1242	84543	32511
1243	84611	32443
1244	84679	32375
1245	84747	32307
1246	84811	32237
1247	84880	32170
1248	84946	32101
1249	85014	32033
1250	85085	31966
1251	85153	31898
1252	85217	31828
1253	85281	31759
1254	85348	31691
1255	85415	31622
1256	85480	31553
1257	85545	31484
1258	85611	31415
1259	85680	31348
1260	85749	31280
1261	85820	31213
1262	85887	31145
1263	85953	31076
1264	86018	31007
1265	86084	30938
1266	86150	30870
1267	86218	30801
1268	86284	30733
1269	86351	30665
1270	86421	30597
1271	86490	30530
1272	86558	30461
1273	86626	30394
1274	86696	30326
1275	86763	30258
1276	86829	30189
1277	86901	30123
1278	86968	30054
1279	87035	29986
1280	87106	29919
1281	87177	29852
1282	87243	29783
1283	87308	29714
1284	87375	29646
1285	87440	29577
1286	87507	29509
1287	87572	29440
1288	87637	29371
1289	87701	29301
1290	87771	29234
1291	87844	29168
1292	87921	29103
1293	87998	29038
1294	88066	28970
1295	88131	28901
1296	88197	28832
1297	88262	28763
1298	88327	28694
1299	88393	28625
1300	88463	28558
1301	88535	28491
1302	88602	28423
1303	88667	28354
1304	88735	28286
1305	88807	28219
1306	88875	28151
1307	88943	28083
1308	89010	28015
1309	89081	27948
1310	89153	27881
1311	89223	27814
1312	89292	27746
1313	89360	27678
1314	89425	27609
1315	89490	27540
1316	89557	27472
1317	89623	27403
1318	89690	27335
1319	89758	27267
1320	89829	27200
1321	89899	27133
1322	89968	27065
1323	90039	26998
1324	90104	26929
1325	90169	26860
1326	90237	26792
1327	90302	26723
1328	90369	26655
1329	90436	26587
1330	90509	26520
1331	90578	26452
1332	90645	26384
1333	90711	26315
1334	90775	26246
1335	90841	26178
1336	90910	26110
1337	90976	26041
1338	91042	25973
1339	91111	25905
1340	91180	25837
1341	91255	25771
1342	91323	25703
1343	91390	25635
1344	91456	25567
1345	91521	25498
1346	91587	25429
1347	91652	25360
1348	91719	25292
